000000000000000000000000000000000000010000,3,0,50779537
000000000000000000000000000000200000010010,3,20,39585330
000000000000000010000002000000200000010010,4,50,40232957
000000000100000010000002000000200000012010,4,60,46415373
000000000100000010000002000000220001012010,4,130,33230168
000000000100000010000002200000220001012110,4,160,36041571
000000000000000000000000000000000000001000,4,-10,10024143
000000000000000000000000000000020000011000,2,20,28964238
000000000000000000000000000000020000211100,6,30,36577621
000000000000000000000000000000020001211120,3,60,34728234
000000000000000000000000000001220001211120,4,130,33791794
000000000000000000000010200001220001211120,4,130,19978787
000000000000000002000010200001220101211120,4,150,4027168
000000000000000000000000000000020000001100,3,20,9878669
000000000000000000000000000000020001021100,3,50,11899552
000000000000000000000000000000220001121100,2,170,21767025
000000000000000000000001000002220001121100,1,170,40054026
000000000000000000000000000000000000000010,5,10,22303915
000000000000000000000000000000000001000210,2,20,20016129
000000000000000000000000000000001001200210,2,20,39751641
000000000000000000000000000012001001200210,2,20,15157738
000000000000000000000020000012001001210210,2,170,24115063
000000000000000000000000000000000000000100,2,0,28874895
000000000000000000000000000001000000200100,5,0,1464438
000000000000000000000000000001002001200100,5,20,39720369
000000000000000000000000020001002001201100,5,30,41923642
000000000000000000200000020001012001201100,5,170,20091535
000000000000000000000000100000020000001000,4,-10,19350124
000000000000000002000000100000020000011000,2,20,5056068
000000000000000002000000100000020000211010,5,20,4866488
000000000000000002000000100001020000211210,2,40,10863149
000000000000000002000020100001020100211210,6,40,30756880
000000000000000002000020102001120100211210,4,50,27698472
000000000020000002000021102001120100211210,3,50,35059288
000000000020000022000021102001121100211210,3,90,19701046
000000000220000122000021102001121100211210,2,90,4901176
000000000000000000000000000000020000101000,3,30,13084111
000000000000000000000000000000020001121000,4,50,43540462
000000000000000000000000200000120001121000,3,60,38316791
000000000000000010000002200000120001121000,4,60,26408344
000000000010000012000002200000120001121000,5,60,7264152
000100000010000012000002200000120001121200,4,1000,11224215
000000000000000000000000000000000001000000,2,20,11174585
000000000000000000000000000000000001201000,4,20,49183657
000000000000000000000000000001020001201000,4,30,18099138
000000000000000000000010200001020001201000,2,50,46640178
000000000000000200000010200001020001201100,4,50,40685012
000000000000000202000010200001020001211100,4,160,25368368
000000000000000000000000000000020001001000,3,30,24561574
000000000000000000000000100000020001021000,3,30,41435028
000000000000000000000000100000220001021010,6,30,36567463
000000000000000000000000101000220201021010,6,150,8392493
000000000000100000020000101000220201021010,5,150,21655228
000000000000100000020001101000220201021210,5,150,14350477
000000000000000000000000000000200000110000,1,0,12330249
000000000000000000000000000010200002110000,3,30,32060234
000000000000000000000002000010200002110010,3,40,43240151
000000000000000020000002000010200002111010,3,170,3914794
000000000000000000000000000001000001200000,2,20,10266838
000000000000000000000020000011000001200000,5,30,44765395
000000000000000000000020000011000001210200,2,30,2887579
000000000000000200000020000011000001210210,2,40,32973478
010000002000000200000020000011000001210210,2,1000,16536296
000000000000000000000020000011000001200210,2,40,41986218
000000000000000200000020000011000101200210,2,40,28626087
000000002000000200000020000011000101210210,2,160,6885752
000000000000000000000000000000000100000210,6,10,29948526
000000000000000000010000002000000100000210,5,10,31925182
000000000000000000010000002000002100001210,1,30,37758857
000000000000000000010000002000002102101210,2,30,40717461
000000000000100000010000002002002102101210,4,40,18830741
000001000000100000010000002002022102101210,6,1000,39694852
000000000010000002000000100000020000001000,1,-10,33200190
000000000010000002000000100000020002001010,5,0,45237077
000000000010000002000000100010020002001210,5,30,3826489
000000000010000002000100100010022002001210,5,140,9012837
000000000010000002000100120010022002101210,5,150,1603877
000000000000000000000000000000000000100210,1,20,32906469
000000000000000000000000000001000002100210,2,20,9298366
000000000000000000000020000001000002110210,2,30,13696512
000000000000000200000020000001100002110210,2,30,30653594
000000002000000200000021000001100002110210,2,160,13459358
000000000000000000000000002000000100001210,4,20,8147426
000000000000000000010000002000020100001210,4,50,7215988
000000000000000000010000202000021100001210,4,50,31357563
000000000010000002010000202000021100001210,5,50,31102672
000000000010100002010000222000021100001210,2,70,27691932
000000000010100002010000222000021100211210,3,130,18537097
000001000010100002010000222000221100211210,6,1000,32895550
000000000000000000000000000000000000100000,3,10,14948154
000000000000000000000000000000000000120010,3,20,21479117
000000000000000000000000000000200000120110,3,30,12707574
000000000000000000000002000000200100120110,3,180,14333226
000000000000000000000000000000000000010210,5,20,21038010
000000000000000000000000000000002001010210,2,30,5530788
000000000000000000000000000000102001210210,3,30,45730513
000000000000000010000002000000102001210210,5,30,34191372
000000000000000000000000000000120000211000,4,30,10109483
000000000000000000000000000010000001200000,1,20,32733390
000000000000000000000200000010000001200100,2,20,22722314
000000000000000000000200000012001001200100,5,20,19556857
000000000000000000000200020012001001200110,4,30,21507146
000000000000000000000210020012001001202110,5,30,2750337
000000000000001000200210020012001001202110,4,60,12619283
000000010000001000200210020012021001202110,4,100,1132724
000000010000001100200210220012021001202110,4,130,34158134
000000000000000000000000000000000001200100,6,20,31854697
000000000000000000000000000001000001200120,2,20,14950658
000000000000000100000020000001000001200120,6,20,37605517
000000000000000100000020000001000201201120,4,50,32995338
000000000000000100000020000011020201201120,1,60,26587724
000000000000000100000220001011020201201120,5,120,14583367
000000000000000100000220101011022201201120,5,120,18143461
000000000000001100000220121011022201201120,3,120,14462980
000000000000001100010220121011022201221120,3,120,29037696
000000000000000000000200000011000001200000,2,20,19425318
000000000000000000000220000011000001200100,4,30,32609521
000000000000000000000220000011001001202100,1,30,34787746
000000010000002000000220000011001001202100,5,50,41197873
100000010000002000000220020011001001202100,1,1000,965248
000000000000000002000000100000020001001000,2,20,5699119
000000000000000002000000100000020001201010,5,20,37318860
000000000000000002000000100000020001211210,2,40,32870034
000000000000000002000000100002020101211210,3,150,8311945
000000000000000002000000100012220101211210,5,150,27638951
000000000000000000000000000000000101200120,2,20,8421011
000000000000000000000000000002000101210120,2,40,27361217
000000000000000000000020000002000101211120,2,170,14676720
000000000000000000000000000000000001120000,3,30,36713380
000000000000000000000000000001200001120000,2,30,29108820
000000000000000000000021000001200001120000,2,30,1367889
000000000000000200000021000001200001120100,2,40,19243834
000000002000000210000021000001200001120100,2,160,28103184
000000000000000000000000000000020001201010,5,30,45307431
000000000000000000000000000000020001211210,3,60,40514492
000000000000000000000000000001220001211210,6,130,43116333
000000000000000000000000000011220201211210,5,160,6575129
000000000000000000000000000000200001010000,4,40,41258739
000000000000000000000000000000210001012000,4,50,11566831
000000000000000000000000200000210001012010,3,60,31084089
000000000000000000000002200000210001112010,2,80,2659179
000000000000000000000002200002210001112110,2,140,31194310
000000000000000001000022200002210001112110,1,140,16989525
000000000010000001000022200022210001112110,1,140,34282922
000000000000000000000000000000120001021000,4,40,45907865
000000000000000000000001200000120001021000,4,50,45408413
000000000000000002000001200010120001021000,4,170,19507748
000000000000000000000000100000020001201000,4,20,39342574
000000000000000002000000100000020001201100,6,30,36028570
000000000000000002000000100001020001201120,6,40,35736767
000000000000000002000000101001020201201120,5,60,24021421
000000000000000002000000101011022201201120,5,140,37679383
000000000000000002000010121011022201201120,7,140,13347024
000000000000000000000000000000000000201100,6,0,41087660
000000000000000000000000000000000001201120,4,30,38924716
000000000000000000000000000001020001201120,4,50,35230442
000000000000000000000000200001021001201120,4,60,34785124
000000000000000002000010200001021001201120,4,160,16163292
000000000000000000000000000000000000200110,4,0,31528525
000000000000000000000000000000010000202110,4,0,8237678
000000000000000000000000200000010001202110,4,40,16473712
000000000000000002000000200000011001202110,1,40,23895331
000000000000000002000000200021011001202110,4,40,22547214
